date,domain,total_comments
2013-07-19,aliexpress,156
2013-07-22,aliexpress,79
2013-07-23,aliexpress,39
2013-07-24,aliexpress,39
2013-07-25,aliexpress,39
2013-07-26,aliexpress,78
2013-07-29,aliexpress,79
2013-07-30,aliexpress,78
2013-07-31,aliexpress,39
2013-08-01,aliexpress,39
2013-08-02,aliexpress,78
2013-08-06,aliexpress,80
2013-08-07,aliexpress,80
2013-08-08,aliexpress,39
2013-08-09,aliexpress,40
2013-08-12,aliexpress,79
2013-08-13,aliexpress,40
2013-08-14,aliexpress,40
2013-08-15,aliexpress,40
2013-08-16,aliexpress,112
2013-08-19,aliexpress,201
2013-08-20,aliexpress,32
2013-08-21,aliexpress,125
2013-08-22,aliexpress,97
2013-08-25,aliexpress,34
2013-08-26,aliexpress,156
2013-08-26,ozon,0
2013-08-27,aliexpress,316
2013-08-28,aliexpress,198
2013-08-29,aliexpress,40
2013-08-30,aliexpress,38
2013-08-30,ozon,8
2013-09-01,aliexpress,40
2013-09-02,aliexpress,78
2013-09-03,aliexpress,78
2013-09-04,aliexpress,80
2013-09-05,aliexpress,40
2013-09-06,aliexpress,40
2013-09-06,ozon,3
2013-09-07,aliexpress,35
2013-09-09,aliexpress,80
2013-09-10,aliexpress,138
2013-09-10,ozon,17
2013-09-11,aliexpress,116
2013-09-11,ozon,0
2013-09-12,aliexpress,80
2013-09-13,aliexpress,119
2013-09-13,ozon,19
2013-09-16,aliexpress,196
2013-09-17,aliexpress,78
2013-09-17,ozon,38
2013-09-18,aliexpress,160
2013-09-19,ozon,1
2013-09-20,ozon,40
2013-09-22,aliexpress,119
2013-09-22,ozon,0
2013-09-23,aliexpress,80
2013-09-25,aliexpress,113
2013-09-25,ozon,4
2013-09-26,aliexpress,79
2013-09-26,ozon,5
2013-09-27,aliexpress,120
2013-09-27,ozon,3
2013-09-29,aliexpress,40
2013-09-29,ozon,0
2013-09-30,aliexpress,119
2013-09-30,ozon,1
2013-10-02,ozon,0
2013-10-04,ozon,4
2013-10-08,aliexpress,28
2013-10-09,aliexpress,59
2013-10-10,aliexpress,199
2013-10-10,ozon,2
2013-10-11,aliexpress,113
2013-10-11,ozon,9
2013-10-12,aliexpress,66
2013-10-13,aliexpress,40
2013-10-13,ozon,8
2013-10-14,aliexpress,65
2013-10-15,aliexpress,724
2013-10-16,ozon,0
2013-10-17,aliexpress,80
2013-10-17,ozon,0
2013-10-18,aliexpress,120
2013-10-18,ozon,10
2013-10-21,aliexpress,77
2013-10-22,aliexpress,120
2013-10-23,aliexpress,78
2013-10-23,ozon,0
2013-10-24,aliexpress,255
2013-10-25,aliexpress,160
2013-10-25,ozon,7
2013-10-28,aliexpress,78
2013-10-29,aliexpress,220
2013-10-30,aliexpress,137
2013-10-31,aliexpress,156
2013-11-01,aliexpress,160
2013-11-01,ozon,6
2013-11-04,aliexpress,149
2013-11-05,aliexpress,117
2013-11-06,aliexpress,192
2013-11-07,aliexpress,40
2013-11-08,aliexpress,40
2013-11-08,ozon,18
2013-11-09,aliexpress,119
2013-11-10,aliexpress,125
2013-11-11,aliexpress,188
2013-11-12,aliexpress,79
2013-11-13,aliexpress,117
2013-11-14,aliexpress,79
2013-11-15,aliexpress,79
2013-11-15,ozon,9
2013-11-17,aliexpress,80
2013-11-18,aliexpress,77
2013-11-19,aliexpress,79
2013-11-20,aliexpress,79
2013-11-21,aliexpress,40
2013-11-22,aliexpress,119
2013-11-22,ozon,8
2013-11-25,aliexpress,174
2013-11-26,aliexpress,79
2013-11-27,aliexpress,103
2013-11-28,aliexpress,39
2013-11-29,aliexpress,158
2013-11-30,aliexpress,71
2013-12-02,aliexpress,813
2013-12-03,aliexpress,194
2013-12-04,aliexpress,160
2013-12-05,aliexpress,80
2013-12-06,aliexpress,159
2013-12-09,aliexpress,276
2013-12-10,aliexpress,79
2013-12-10,ozon,35
2013-12-11,aliexpress,157
2013-12-12,aliexpress,80
2013-12-13,aliexpress,160
2013-12-15,aliexpress,186
2013-12-16,aliexpress,237
